final_price,available_for_delivery,available_for_pickup,brand,review_count,product_id,product_name,category_name,root_category_name,tags,rating,unit_price,sizes,colors,seller,initial_price,categories,date,discount_numeric,discount_percent,one_star,two_stars,three_stars,four_stars,five_stars
22.9,True,False,Laura Mercier,6,173530386,Laura Mercier Caviar Stick Eye Color Sugar Frost 1.64g/0.05oz,Eye Shadow Stick,Beauty,"[""Reviewers highlighted: ease of use, blending, glide""]",4.0,22.9,[],"[""Sugar Frost"",""Tuxedo""]",Wal███t.c███,22.9,"[""Beauty"",""Makeup"",""Eye Makeup"",""Eye Shadow"",""Eye Shadow Stick""]",2024-08-24,0.0,0.0,0,1,0,3,2
47.88,True,False,Exultantex,58,430528189,"Exultantex Grey Blackout Curtains for Living Room,Pom Pom Thermal Window Curtains,50""W x 95""L, 2 Panels, Rod Pocket",Blackout Curtains,Home,"[""Reduced price""]",4.6,,"[""50\"" x 54\"""",""50\"" x 63\"""",""50\"" x 84\"""",""50\"" x 95\""""]","[""Black"",""Blue"",""Green"",""Gray"",""Natural(Ivory)"",""Navy(Royal Blue)"",""Pink""]",Exu███nte███ome███,70.8,"[""Home"",""Decor"",""Curtains & Window Treatments"",""Curtains"",""Blackout Curtains""]",2024-08-24,22.92,32.37,4,0,3,4,47
33.24,True,False,Jessica London,2,6013308220,Jessica London Women's Plus Size Stretch Knit V-Neck Swing Tunic,Plus Size Tops,Clothing,"[""Reduced price""]",5.0,,"[""S"",""M"",""L"",""1X"",""2X"",""3X""]","[""Aqua Sea"",""Dark Olive Green"",""Dark Sapphire"",""Navy"",""Pink Burst"",""Raspberry""]",Ful███aut███ran███,37.99,"[""Clothing"",""Womens Plus"",""Plus Size Tops"",""Plus Size Tops""]",2024-08-24,4.75,12.5,0,0,0,0,2
49.99,True,False,Simply Put,101,161657830,100% Cotton King Percale Duvet Set (3 Piece) Blue Distress Tile Print by Simply Put,King Duvet Covers,Home,"[""Reduced price""]",4.7,,"[""Queen"",""King""]","[""Beige"",""Blue"",""Gray"",""Spa Blue""]",IC ███bal███c,71.99,"[""Home"",""Bedding"",""Duvet Covers"",""King Duvet Covers""]",2024-08-24,22.0,30.56,2,1,3,17,78
12.99,True,False,Disney,15,5397071399,Disney Boys Graphic Tee Donald Duck Short Sleeves T-Shirt Top Summer Outfits Clothes Sizes 3-10T,Boys Outfit Sets,Clothing,"[""Best seller"",""Clearance""]",4.4,,"[""2T"",""3T"",""3T-4T"",""3-4 Years"",""4-5 Years"",""4-5T"",""5-6 Years"",""5-6T"",""6-7 Years"",""6-7T"",""7-8 Years"",""7-8T"",""8-9 Years"",""8-9T"",""9-10T"",""9-10Years""]","[""1#Yellow Micky"",""2#Pink Minnie"",""3#Blue Donald"",""4#Purple Daisy"",""5#Black Micky"",""6#White Minnie"",""7#Green Micky"",""8#Blue Pluto"",""9#Yellow Donald"",""10#Grey Micky"",""11#Blue strips"",""12#Green strips"",""13#Blue Stitch"",""14#Daisy Purple"",""15#Donald Blue"",""16#Micky Red"",""17#Minnie Pink""]",Pat███,29.0,"[""Clothing"",""Kids Clothing"",""Boys Clothing"",""Boys Outfit Sets""]",2024-08-25,16.01,55.21,1,1,1,0,12
28.0,True,False,Vanity Fair,95,512809025,Women's Vanity Fair 75201 Nearly Invisible Full Coverage Underwire Bra (Black 40C),Underwire Bras,Clothing,"[""Reviewers highlighted: fit, comfort, material""]",4.4,,"[""34B"",""34C"",""34D"",""34DD"",""36 D"",""36C"",""36DD"",""38 B"",""38B"",""38D"",""38DD"",""40C"",""40D"",""40DD""]","[""Cappuccino"",""Damask Neutral"",""Gray"",""In The Buff"",""Midnight Black"",""Totally Tan""]",Her███m a███His██████,40.0,"[""Clothing"",""Womens Clothing"",""Womens Bras, Panties & Lingerie"",""Womens Bras"",""Underwire Bras""]",2024-08-24,12.0,30.0,5,1,5,21,63
19.99,True,False,Ibtom Castle,12,2749504314,IBTOM CASTLE Women's One Piece Rash Guard Swimsuit UV Protection Floral Printed Surfing Zipper Swimwear Bathing Suit Beachwear S Green Leaves,Womens One-piece Swimsuits,Clothing,"[""Reduced price""]",4.3,,"[""S"",""M"",""L"",""XL"",""XXL""]","[""Black + Blue"",""Black + Blue White"",""Black + Gray"",""Black + Green Leaves"",""Black + Leopard"",""Black + Orange"",""Black + Pink Flower"",""Black + Pink Leaves"",""Black + Red Floral"",""Black + Red Leaves"",""Black + White Stripe"",""Blue + Green Leaves"",""Blue + Pink Backless"",""Blue + Pink Floral"",""Blue + Pink Leaves"",""Blue + Pink Print"",""Blue + Red Floral"",""Blue + Yellow Floral"",""Green + Pink Backless"",""Green + Pink Floral"",""Green Leaves"",""Navy Blue"",""Navy Blue + Pink Leaves"",""Pink + Yellow Floral"",""Pink Backless"",""Sky Blue Leaves"",""Yellow Flower""]",IBT███CAS███,31.99,"[""Clothing"",""Womens Clothing"",""Womens Swimsuits"",""Womens One-Piece Swimsuits"",""Womens One-piece Swimsuits""]",2024-08-24,12.0,37.51,1,0,1,2,8
22.99,True,False,a.Jesdani,336,5184785010,a.Jesdani Women's Cardigan Classic Casual Lightweight Knit Cardigan Sweaters S-XXL,Womens Workwear Sweaters,Clothing,"[""Reduced price"",""Best seller""]",4.2,,"[""S"",""M"",""L"",""XL"",""XXL""]","[""A1-Black"",""A2-White"",""A3-Camel Heather"",""A4-Burgundy"",""A5-Navy Blue"",""A6-Light Grey"",""A7-Mustard"",""A8-Charcoal Black"",""A9-Heather Grey"",""A10-Green"",""A11-Light Pink"",""NEW11-Light Pink"",""A12-Light Purple"",""A13-Royal Blue"",""NEW13-Royal Blue"",""A14-Light Blue"",""A15-Rose"",""NEW16-Yellow""]",a.J███ani███,25.99,"[""Clothing"",""Womens Clothing"",""Womens Workwear"",""Womens Workwear Sweaters""]",2024-08-24,3.0,11.54,38,14,20,36,228
6.09,True,False,Way To Celebrate,203,5164703747,"4th of July Women’s Lounger Sleepshirt by Way To Celebrate, Sizes S to 3X",Womens Nightshirts & Gowns,Clothing,"[""Best seller"",""Clearance""]",4.7,,"[""S"",""M"",""L"",""XL"",""2X"",""3X""]","[""Blue Cove"",""Brilliant Red"",""Completely Pink"",""Tea Rose""]",Wal███t.c███,11.98,"[""Clothing"",""Womens Clothing"",""Womens Pajamas & Loungewear"",""Womens Nightshirts & Gowns""]",2024-08-25,5.89,49.17,1,4,7,27,164
24.99,True,False,Vulcanodon,68,5155961106,"Vulcanodon Mens Pajama Set 100% Cotton, Long Sleeve Button Down PJ Set for Men Plaid Men's Sleepwear(Red Blue-Plaid, Large)",Mens Pajama Sets,Clothing,"[""Best seller""]",4.6,,"[""S"",""M"",""L"",""XL"",""2XL""]","[""Aqua Blue-Plaid"",""Dark Blue-Plaid"",""Navy-Plaid"",""Red Blue-Plaid"",""Royal Blue-Plaid""]",VUL███ODO███,37.99,"[""Clothing"",""Mens Clothing"",""Mens Pajamas and Robes"",""Mens Pajama Sets""]",2024-08-25,13.0,34.22,2,1,6,1,58
36.98,True,False,Grande Cosmetics,6356,908232424,"Grande Cosmetics GrandeLash MD Eyelash Formula, 2mL (New Packaging)",Eyelash Enhancer,Beauty,"[""Best seller""]",4.6,,"[""2 mL""]",[],2H ███mer███,68.0,"[""Beauty"",""Makeup"",""Eye Makeup"",""Mascara"",""Eyelash Enhancer""]",2024-08-24,31.02,45.62,298,113,186,414,5345
46.49,True,False,nuLOOM,49,904020893,nuLOOM Vintage Erline Area Rug,Floor Decor,Home,"[""Reviewers highlighted: colors, price, design""]",4.7,,"[""2' 6\"" x 10'""]","[""Black"",""Multi""]",Din███s,56.2,"[""Home"",""Decor"",""Floor Decor""]",2024-08-24,9.71,17.28,2,1,1,3,42
123.0,True,False,Georgia Boot,242,17245067,Georgia Giant Work Boot Size 10.5(W),Mens Wide Shoes,Clothing,,4.5,,"[""6.5"",""7"",""7.5"",""8"",""8.5"",""9"",""9.5"",""10"",""10.5"",""11"",""11.5"",""12"",""13"",""14"",""15"",""16"",""17""]","[""Brown""]",Cou███y O███itt███,178.53,"[""Clothing"",""Shoes"",""Mens Shoes"",""Mens Wide Shoes""]",2024-08-24,55.53,31.1,6,10,15,34,177
